"Reservoir","Site","DateTime","Depth_m","Temp_C","DO_mgL","DOsat_percent","Cond_uScm","SpCond_uScm","PAR_umolm2s","ORP_mV","pH","Flag_DateTime","Flag_Temp_C","Flag_DO_mgL","Flag_DOsat_percent","Flag_Cond_uScm","Flag_SpCond_uScm","Flag_PAR_umolm2s","Flag_ORP_mV","Flag_pH"
"FCR",50,2023-05-08 13:31:00,5,14.3,NA,NA,NA,NA,NA,NA,6.82,0,7,1,1,1,1,1,1,0
"FCR",50,2023-05-08 13:37:00,6.2,12,NA,NA,NA,NA,NA,NA,6.78,0,7,1,1,1,1,1,1,0
"FCR",50,2023-05-08 13:45:00,8,11.5,NA,NA,NA,NA,NA,NA,6.66,0,7,1,1,1,1,1,1,0
"FCR",50,2023-05-08 13:50:00,9,NA,NA,NA,NA,NA,NA,NA,6.6,0,1,1,1,1,1,1,1,0
"FCR",50,2023-05-16 10:38:00,1.6,NA,NA,NA,NA,NA,NA,NA,8.41,0,1,1,1,1,1,1,1,0
"FCR",50,2023-05-16 11:07:00,3.8,NA,NA,NA,NA,NA,NA,NA,6.97,0,1,1,1,1,1,1,1,0
"FCR",50,2023-05-16 11:27:00,5,NA,NA,NA,NA,NA,NA,NA,6.83,0,1,1,1,1,1,1,1,0
"FCR",50,2023-05-16 11:50:00,6.2,NA,NA,NA,NA,NA,NA,NA,6.53,0,1,1,1,1,1,1,1,0
"FCR",50,2023-05-16 12:00:00,8,NA,NA,NA,NA,NA,NA,NA,6.5,0,1,1,1,1,1,1,1,0
"FCR",50,2023-05-16 12:08:00,9,NA,NA,NA,NA,NA,NA,NA,6.52,0,1,1,1,1,1,1,1,0
"FCR",100,2023-05-16 13:04:00,0.1,15,9.44,93,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
"FCR",100,2023-05-22 11:37:00,0.1,14.5,9.68,94.2,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
"FCR",100,2023-05-29 10:23:00,0.1,13.6,9.88,95.5,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
"FCR",50,2023-05-29 11:02:00,0.1,18.4,NA,NA,NA,NA,NA,NA,8.61,0,7,1,1,1,1,1,1,0
"FCR",50,2023-05-29 11:10:00,1.6,17.7,NA,NA,NA,NA,NA,NA,8.37,0,7,1,1,1,1,1,1,0
"FCR",50,2023-05-29 11:23:00,3.8,NA,NA,NA,NA,NA,NA,NA,6.57,0,1,1,1,1,1,1,1,0
"FCR",50,2023-05-29 11:33:00,5,15.1,NA,NA,NA,NA,NA,NA,6.74,0,7,1,1,1,1,1,1,0
"FCR",50,2023-05-29 11:44:00,6.2,11.4,NA,NA,NA,NA,NA,NA,6.38,0,7,1,1,1,1,1,1,0
"FCR",50,2023-05-29 11:50:00,8,11.1,NA,NA,NA,NA,NA,NA,6.38,0,7,1,1,1,1,1,1,0
"FCR",50,2023-05-29 12:02:00,9,11.7,NA,NA,NA,NA,NA,NA,6.43,0,7,1,1,1,1,1,1,0
"FCR",100,2023-06-06 10:10:00,0.1,14.6,9.68,94.9,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
"FCR",50,2023-06-14 10:10:00,0.1,21.4,NA,NA,NA,NA,NA,NA,9.8,0,7,1,1,1,1,1,1,0
"FCR",50,2023-06-14 10:34:00,1.6,20.8,NA,NA,NA,NA,NA,NA,9.65,0,7,1,1,1,1,1,1,0
"FCR",50,2023-06-14 10:48:00,3.8,17.3,NA,NA,NA,NA,NA,NA,7.15,0,7,1,1,1,1,1,1,0
"FCR",50,2023-06-14 11:01:00,5,13.2,NA,NA,NA,NA,NA,NA,6.45,0,7,1,1,1,1,1,1,0
"FCR",50,2023-06-14 11:14:00,6.2,12.8,NA,NA,NA,NA,NA,NA,6.41,0,7,1,1,1,1,1,1,0
"FCR",50,2023-06-14 11:26:00,8,11.8,NA,NA,NA,NA,NA,NA,6.4,0,7,1,1,1,1,1,1,0
"FCR",50,2023-06-14 11:39:00,9,11.8,NA,NA,NA,NA,NA,NA,6.43,0,7,1,1,1,1,1,1,0
"FCR",100,2023-06-14 14:50:00,0.1,15.8,9.52,96.7,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
"FCR",50,2023-06-19 09:34:00,0.1,23.2,NA,NA,NA,NA,NA,NA,10.08,0,7,1,1,1,1,1,1,0
"FCR",50,2023-06-19 09:45:00,1.6,21.8,NA,NA,NA,NA,NA,NA,10.03,0,7,1,1,1,1,1,1,0
"FCR",50,2023-06-19 10:00:00,3.8,16.7,NA,NA,NA,NA,NA,NA,6.6,0,7,1,1,1,1,1,1,0
"FCR",50,2023-06-19 10:10:00,5,15.1,NA,NA,NA,NA,NA,NA,6.52,0,7,1,1,1,1,1,1,0
"FCR",50,2023-06-19 10:21:00,6.2,12.7,NA,NA,NA,NA,NA,NA,6.43,0,7,1,1,1,1,1,1,0
"FCR",50,2023-06-19 10:25:00,8,12.7,NA,NA,NA,NA,NA,NA,6.39,0,7,1,1,1,1,1,1,0
"FCR",50,2023-06-19 10:39:00,9,12.5,NA,NA,NA,NA,NA,NA,6.39,0,7,1,1,1,1,1,1,0
"FCR",100,2023-06-19 11:34:00,0.1,17.4,9.2,95.2,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
"FCR",100,2023-06-26 15:14:00,0.1,20.1,8.48,94,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
"FCR",50,2023-07-03 09:42:00,0.1,26.8,NA,NA,NA,NA,NA,NA,9.88,0,7,1,1,1,1,1,1,0
"FCR",50,2023-07-03 09:50:00,1.6,24.6,NA,NA,NA,NA,NA,NA,9.49,0,7,1,1,1,1,1,1,0
"FCR",50,2023-07-03 09:58:00,3.8,19.1,NA,NA,NA,NA,NA,NA,6.87,0,7,1,1,1,1,1,1,0
"FCR",50,2023-07-03 10:16:00,5,16.2,NA,NA,NA,NA,NA,NA,6.45,0,7,1,1,1,1,1,1,0
"FCR",50,2023-07-03 10:23:00,6.2,12.8,NA,NA,NA,NA,NA,NA,6.37,0,7,1,1,1,1,1,1,0
"FCR",50,2023-07-03 10:29:00,8,13.1,NA,NA,NA,NA,NA,NA,6.38,0,7,1,1,1,1,1,1,0
"FCR",50,2023-07-03 10:32:00,9,12.8,NA,NA,NA,NA,NA,NA,6.39,0,7,1,1,1,1,1,1,0
"FCR",100,2023-07-03 12:00:00,0.1,20.4,8.76,96.8,NA,NA,NA,NA,NA,0,0,6,6,1,1,1,1,1
"FCR",100,2023-07-10 15:40:00,0.1,21.8,8.3,94.5,NA,NA,NA,NA,NA,0,0,6,6,1,1,1,1,1
"FCR",50,2023-07-17 10:07:00,0.1,26.3,NA,NA,NA,NA,NA,NA,7.31,0,7,1,1,1,1,1,1,0
"FCR",50,2023-07-17 10:15:00,1.6,24.4,NA,NA,NA,NA,NA,NA,7.07,0,7,1,1,1,1,1,1,0
"FCR",50,2023-07-17 10:28:00,3.8,19.1,NA,NA,NA,NA,NA,NA,6.75,0,7,1,1,1,1,1,1,0
"FCR",50,2023-07-17 10:41:00,5,16,NA,NA,NA,NA,NA,NA,6.44,0,7,1,1,1,1,1,1,0
"FCR",50,2023-07-17 10:54:00,6.2,15,NA,NA,NA,NA,NA,NA,6.43,0,7,1,1,1,1,1,1,0
"FCR",50,2023-07-17 11:00:00,8,12.8,NA,NA,NA,NA,NA,NA,6.38,0,7,1,1,1,1,1,1,0
"FCR",50,2023-07-17 11:12:00,9,12.8,NA,NA,NA,NA,NA,NA,6.41,0,7,1,1,1,1,1,1,0
"FCR",100,2023-07-17 13:15:00,0.1,20.7,8.25,91.7,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
"FCR",100,2023-07-24 10:20:00,0.1,18.3,9.1,95.5,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
"FCR",200,2023-07-24 12:00:00,0.1,19.3,7.71,83,NA,NA,NA,NA,NA,1,0,0,0,1,1,1,1,1
"FCR",50,2023-07-31 09:55:00,0.1,26.8,NA,NA,NA,NA,NA,NA,8.28,0,7,1,1,1,1,1,1,0
"FCR",50,2023-07-31 10:05:00,1.6,NA,NA,NA,NA,NA,NA,NA,8.59,0,1,1,1,1,1,1,1,0
"FCR",50,2023-07-31 10:15:00,3.8,NA,NA,NA,NA,NA,NA,NA,6.85,0,1,1,1,1,1,1,1,0
"FCR",50,2023-07-31 10:25:00,5,NA,NA,NA,NA,NA,NA,NA,6.5,0,1,1,1,1,1,1,1,0
"FCR",50,2023-07-31 10:35:00,6.2,NA,NA,NA,NA,NA,NA,NA,6.58,0,1,1,1,1,1,1,1,0
"FCR",50,2023-07-31 10:43:00,8,NA,NA,NA,NA,NA,NA,NA,6.46,0,1,1,1,1,1,1,1,0
"FCR",50,2023-07-31 11:16:00,9,12.3,8.88,81.9,NA,NA,NA,NA,6.44,0,0,0,0,1,1,1,1,0
"FCR",100,2023-07-31 11:50:00,0.1,20.3,11.36,125,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
"FCR",50,2023-08-07 09:20:00,0.1,25.5,NA,NA,NA,NA,NA,NA,8.07,0,7,1,1,1,1,1,1,0
"FCR",50,2023-08-07 09:32:00,3.8,17.6,NA,NA,NA,NA,NA,NA,6.57,0,7,1,1,1,1,1,1,0
"FCR",50,2023-08-07 09:40:00,1.6,25,NA,NA,NA,NA,NA,NA,8.22,0,7,1,1,1,1,1,1,0
"FCR",50,2023-08-07 09:50:00,5,18.6,NA,NA,NA,NA,NA,NA,6.57,0,7,1,1,1,1,1,1,0
"FCR",50,2023-08-07 09:56:00,6.2,15.4,NA,NA,NA,NA,NA,NA,6.34,0,7,1,1,1,1,1,1,0
"FCR",50,2023-08-07 10:03:00,8,13.9,NA,NA,NA,NA,NA,NA,6.33,0,7,1,1,1,1,1,1,0
"FCR",50,2023-08-07 10:07:00,9,13.5,NA,NA,NA,NA,NA,NA,6.35,0,7,1,1,1,1,1,1,0
"FCR",100,2023-08-14 10:27:00,0.1,20.7,8.41,93.2,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
"FCR",200,2023-08-14 11:27:00,0.1,21.2,5.67,63.8,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
"FCR",50,2023-08-22 13:23:00,0.1,NA,NA,NA,NA,NA,NA,NA,8.32,0,1,1,1,1,1,1,1,0
"FCR",50,2023-08-22 13:33:00,1.6,NA,NA,NA,NA,NA,NA,NA,9.17,0,1,1,1,1,1,1,1,0
"FCR",50,2023-08-22 13:45:00,3.8,NA,NA,NA,NA,NA,NA,NA,6.58,0,1,1,1,1,1,1,1,0
"FCR",50,2023-08-22 14:05:00,5,NA,NA,NA,NA,NA,NA,NA,6.33,0,1,1,1,1,1,1,1,0
"FCR",50,2023-08-22 14:15:00,6.2,NA,NA,NA,NA,NA,NA,NA,6.33,0,1,1,1,1,1,1,1,0
"FCR",50,2023-08-22 14:25:00,8,NA,NA,NA,NA,NA,NA,NA,6.27,0,1,1,1,1,1,1,1,0
"FCR",50,2023-08-22 14:30:00,9,NA,NA,NA,NA,NA,NA,NA,6.32,0,1,1,1,1,1,1,1,0
"FCR",100,2023-08-29 15:00:00,0.1,20.9,8.4,93.2,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
"FCR",50,2023-09-05 10:13:00,0.1,NA,NA,NA,NA,NA,NA,NA,7.88,0,1,1,1,1,1,1,1,0
"FCR",50,2023-09-05 10:24:00,1.6,NA,NA,NA,NA,NA,NA,NA,8.19,0,1,1,1,1,1,1,1,0
"FCR",50,2023-09-05 10:33:00,3.8,NA,NA,NA,NA,NA,NA,NA,6.43,0,1,1,1,1,1,1,1,0
"FCR",50,2023-09-05 10:43:00,5,NA,NA,NA,NA,NA,NA,NA,6.32,0,1,1,1,1,1,1,1,0
"FCR",50,2023-09-05 10:57:00,6.2,NA,NA,NA,NA,NA,NA,NA,6.24,0,1,1,1,1,1,1,1,0
"FCR",50,2023-09-05 11:07:00,8,NA,NA,NA,NA,NA,NA,NA,6.26,0,1,1,1,1,1,1,1,0
"FCR",50,2023-09-05 11:17:00,9,NA,NA,NA,NA,NA,NA,NA,6.24,0,1,1,1,1,1,1,1,0
"FCR",100,2023-09-12 13:53:00,0.1,NA,8.62,93.8,NA,NA,NA,NA,NA,0,1,0,0,1,1,1,1,1
"FCR",100,2023-09-18 13:52:00,0.1,17,8.88,91.8,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
"FCR",50,2023-09-26 14:15:00,0.1,18.7,NA,NA,NA,NA,NA,NA,7.11,0,7,1,1,1,1,1,1,0
"FCR",50,2023-09-26 14:20:00,1.6,19.2,NA,NA,NA,NA,NA,NA,7.11,0,7,1,1,1,1,1,1,0
"FCR",50,2023-09-26 14:29:00,3.8,18.4,NA,NA,NA,NA,NA,NA,6.71,0,7,1,1,1,1,1,1,0
"FCR",50,2023-09-26 14:38:00,5,14.8,NA,NA,NA,NA,NA,NA,6.22,0,7,1,1,1,1,1,1,0
"FCR",50,2023-09-26 14:48:00,6.2,13.4,NA,NA,NA,NA,NA,NA,6.18,0,7,1,1,1,1,1,1,0
"FCR",50,2023-09-26 14:52:00,8,13,NA,NA,NA,NA,NA,NA,6.15,0,7,1,1,1,1,1,1,0
"FCR",50,2023-09-26 15:05:00,9,13,NA,NA,NA,NA,NA,NA,6.19,0,7,1,1,1,1,1,1,0
"FCR",100,2023-10-03 14:00:00,0.1,17.8,8.56,88.7,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
"FCR",50,2023-10-09 09:45:00,0.1,16.3,NA,NA,NA,NA,NA,NA,6.66,0,7,1,1,1,1,1,1,0
"FCR",50,2023-10-09 09:57:00,1.6,16.1,NA,NA,NA,NA,NA,NA,6.82,0,7,1,1,1,1,1,1,0
"FCR",50,2023-10-09 10:09:00,3.8,16.6,NA,NA,NA,NA,NA,NA,6.86,0,7,1,1,1,1,1,1,0
"FCR",50,2023-10-09 10:20:00,5,14.9,NA,NA,NA,NA,NA,NA,6.23,0,7,1,1,1,1,1,1,0
"FCR",50,2023-10-09 10:30:00,6.2,13.4,NA,NA,NA,NA,NA,NA,6.09,0,7,1,1,1,1,1,1,0
"FCR",50,2023-10-09 10:40:00,8,13.4,NA,NA,NA,NA,NA,NA,6.13,0,7,1,1,1,1,1,1,0
"FCR",50,2023-10-09 10:52:00,9,12.5,NA,NA,NA,NA,NA,NA,6.06,0,7,1,1,1,1,1,1,0
"FCR",50,2023-10-17 10:47:00,0.1,15.1,NA,NA,NA,NA,NA,NA,6.61,0,7,1,1,1,1,1,1,0
"FCR",50,2023-10-17 10:56:00,1.6,14.4,NA,NA,NA,NA,NA,NA,6.84,0,7,1,1,1,1,1,1,0
"FCR",50,2023-10-17 11:07:00,3.8,15,NA,NA,NA,NA,NA,NA,6.81,0,7,1,1,1,1,1,1,0
"FCR",50,2023-10-17 11:17:00,5,15.1,NA,NA,NA,NA,NA,NA,6.79,0,7,1,1,1,1,1,1,0
"FCR",50,2023-10-17 11:25:00,6.2,13.4,NA,NA,NA,NA,NA,NA,6.08,0,7,1,1,1,1,1,1,0
"FCR",50,2023-10-17 11:34:00,8,13.2,NA,NA,NA,NA,NA,NA,6.04,0,7,1,1,1,1,1,1,0
"FCR",50,2023-10-17 11:43:00,9,13,NA,NA,NA,NA,NA,NA,6,0,7,1,1,1,1,1,1,0
"FCR",100,2023-10-17 14:13:00,0.1,11.3,9.86,90.4,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
"FCR",50,2023-10-24 13:34:00,0.1,15,NA,NA,NA,NA,NA,NA,6.74,0,7,1,1,1,1,1,1,0
"FCR",50,2023-10-24 13:44:00,1.6,15.1,NA,NA,NA,NA,NA,NA,6.88,0,7,1,1,1,1,1,1,0
"FCR",50,2023-10-24 13:59:00,3.8,15.1,NA,NA,NA,NA,NA,NA,6.98,0,7,1,1,1,1,1,1,0
"FCR",50,2023-10-24 14:08:00,5,15,NA,NA,NA,NA,NA,NA,6.79,0,7,1,1,1,1,1,1,0
"FCR",50,2023-10-24 14:19:00,6.2,14.3,NA,NA,NA,NA,NA,NA,6.43,0,7,1,1,1,1,1,1,0
"FCR",50,2023-10-24 14:31:00,8,14.5,NA,NA,NA,NA,NA,NA,6.21,0,7,1,1,1,1,1,1,0
"FCR",50,2023-10-24 14:40:00,9,14,NA,NA,NA,NA,NA,NA,6.02,0,7,1,1,1,1,1,1,0
"FCR",50,2023-11-14 10:38:00,0.1,8.1,10.52,87.4,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
"FCR",100,2023-12-04 13:53:00,0.1,8.5,10.8,92.6,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
"FCR",200,2023-12-04 14:05:00,0.1,9.4,8.58,75.1,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
"FCR",100,2024-01-29 13:13:00,0.1,6.1,12,96.5,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
"FCR",100,2024-02-13 14:17:00,0.1,7.7,11.21,94.1,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
"FCR",100,2024-02-27 12:59:00,0.1,7.1,11.49,94.9,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
"FCR",100,2024-03-05 09:51:00,0.1,9.3,11.11,96.2,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
"FCR",100,2024-03-18 10:10:00,0.1,7.9,11.4,95.3,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
"FCR",100,2024-03-25 10:50:00,0.1,5.8,12.48,98.3,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
"FCR",100,2024-04-08 10:02:00,0.1,9.1,11.2,96.5,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
"FCR",50,2024-04-08 11:20:00,0.1,12.3,NA,NA,NA,NA,NA,NA,6.82,0,7,1,1,1,1,1,1,0
"FCR",50,2024-04-08 11:25:00,1.6,12.3,NA,NA,NA,NA,NA,NA,7.26,0,7,1,1,1,1,1,1,0
"FCR",50,2024-04-08 11:30:00,3.8,11.6,NA,NA,NA,NA,NA,NA,7.09,0,7,1,1,1,1,1,1,0
"FCR",50,2024-04-08 11:39:00,5,12.2,NA,NA,NA,NA,NA,NA,6.77,0,7,1,1,1,1,1,1,0
"FCR",50,2024-04-08 12:00:00,6.2,11.1,NA,NA,NA,NA,NA,NA,6.77,0,7,1,1,1,1,1,1,0
"FCR",50,2024-04-08 12:06:00,8,10.3,NA,NA,NA,NA,NA,NA,6.52,0,7,1,1,1,1,1,1,0
"FCR",50,2024-04-08 12:16:00,9,10.1,NA,NA,NA,NA,NA,NA,6.52,0,7,1,1,1,1,1,1,0
"FCR",100,2024-04-15 10:56:00,0.1,14.3,9.27,90.2,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
"FCR",1,2024-04-15 11:49:00,0.1,17,9.94,101.7,NA,NA,NA,NA,NA,0,0,0,0,1,1,1,1,1
"FCR",100,2024-04-22 10:00:00,0.1,9.3,10.87,94.2,NA,NA,NA,NA,NA,NA,0,0,0,1,1,1,1,1
"FCR",50,2024-04-22 11:50:00,0.1,14.1,NA,NA,NA,NA,NA,NA,7.29,NA,7,1,1,1,1,1,1,0
"FCR",50,2024-04-22 12:05:00,1.6,14.2,NA,NA,NA,NA,NA,NA,7.4,NA,7,1,1,1,1,1,1,0
"FCR",50,2024-04-22 12:15:00,3.8,13.2,NA,NA,NA,NA,NA,NA,7.08,NA,7,1,1,1,1,1,1,0
"FCR",50,2024-04-22 12:23:00,5,11.1,NA,NA,NA,NA,NA,NA,6.61,NA,7,1,1,1,1,1,1,0
"FCR",50,2024-04-22 12:34:00,6.2,11.3,NA,NA,NA,NA,NA,NA,6.57,NA,7,1,1,1,1,1,1,0
"FCR",50,2024-04-22 12:43:00,8,11,NA,NA,NA,NA,NA,NA,6.5,NA,7,1,1,1,1,1,1,0
"FCR",50,2024-04-22 12:52:00,9,10.6,NA,NA,NA,NA,NA,NA,6.53,NA,7,1,1,1,1,1,1,0
"FCR",100,2024-04-29 11:02:00,0.1,15.7,9.21,91.8,NA,NA,NA,NA,NA,NA,0,0,0,1,1,1,1,1
"FCR",100,2024-05-13 10:12:00,0.1,12.5,9.9,92.4,NA,NA,NA,NA,NA,NA,0,0,0,1,1,1,1,1
"FCR",200,2024-05-13 10:36:00,0.1,13.9,8.81,84.8,NA,NA,NA,NA,NA,NA,0,0,0,1,1,1,1,1
"FCR",1,2024-05-13 11:33:00,0.1,18.7,8.35,88.6,NA,NA,NA,NA,NA,NA,0,0,0,1,1,1,1,1
"FCR",100,2024-05-20 10:12:00,0.1,15.6,9.43,94,NA,NA,NA,NA,NA,NA,0,0,0,1,1,1,1,1
"FCR",50,2024-05-20 11:45:00,5,NA,NA,NA,NA,NA,NA,NA,6.34,NA,1,1,1,1,1,1,1,0
"FCR",50,2024-05-20 11:57:00,6.2,NA,NA,NA,NA,NA,NA,NA,6.29,NA,1,1,1,1,1,1,1,0
"FCR",50,2024-05-20 12:08:00,8,NA,NA,NA,NA,NA,NA,NA,6.3,NA,1,1,1,1,1,1,1,0
"FCR",50,2024-05-20 12:17:00,9,NA,NA,NA,NA,NA,NA,NA,6.3,NA,1,1,1,1,1,1,1,0
"FCR",100,2024-05-27 10:37:00,0.1,16.6,9.11,94.6,NA,NA,NA,NA,NA,NA,0,0,0,1,1,1,1,1
